Banjarmasin,28.08,awan mendung,01-11-2025 18:28:28
Yogyakarta,27.9,hujan rintik-rintik,01-11-2025 18:36:41
Medan,29.02,sedikit berawan,01-11-2025 18:36:52
Yogyakarta,27.9,hujan rintik-rintik,01-11-2025 18:36:56
Bandung,25.86,awan mendung,01-11-2025 18:36:59
Banjarbaru,27.99,sedikit berawan,01-11-2025 18:37:05
